row_id,row_kind,parent_witness_id,witness_id,kind,rewrite,gating,holonomy,staging,packaging,drive,ambiguous_assignment,assignment_note,ambiguity_note,theorem_targets,cycle_rank,max_cycle_affinity,exactness_flag,micro_arrow_kl,macro_arrow_kl,closure_deficit,best_macro_gap,contraction_lambda,fixed_point_count,definable_predicate_count,interface_size,representative_lens_id
rev_tree_4,registered,,rev_tree_4,markov_chain,off,off,off,off,off,off,false,Baseline reversible tree witness without extra primitives.,,NG_FORCE_FOREST;NG_FORCE_NULL,0,0,true,,,,,,,16,4,identity
rev_cycle_3,registered,,rev_cycle_3,markov_chain,off,off,off,off,off,off,false,Baseline reversible cycle witness without explicit drive primitive.,,NG_FORCE_NULL,1,0,true,,,,,,,8,3,identity
biased_cycle_3,registered,,biased_cycle_3,markov_chain,off,off,off,off,off,on,false,Biased cycle includes explicit drive primitive.,,NG_FORCE_NULL;NG_FORCE_FOREST,1,7,false,,,,,,,8,3,identity
hidden_clock_reversible,registered,,hidden_clock_reversible,phase_lift_markov,off,off,on,off,off,off,false,Phase-lift hidden-clock structure marks holonomy on.,,NG_ARROW_DPI;NG_PROTOCOL_TRAP,1,0,true,0,0,,,,,8,3,observe_clock_3
hidden_clock_driven,registered,,hidden_clock_driven,phase_lift_markov,off,off,on,off,off,on,false,Phase-lift witness with explicit driven protocol bias.,,NG_ARROW_DPI;NG_PROTOCOL_TRAP,1,15,false,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,0.68031112166068706294654263772746959459262050224247274941474149079907151785914482,,,,,8,3,observe_clock_3
zero_closure_deficit_lumpable,registered,,zero_closure_deficit_lumpable,markov_chain,off,off,off,off,off,off,false,Lumpable closure benchmark without primitive flips.,,NG_MACRO_CLOSURE_DEFICIT,1,0,true,,,0,0,,,4,2,macro_AB
positive_closure_deficit,registered,,positive_closure_deficit,markov_chain,off,off,off,off,off,off,false,Positive closure-deficit contrast is present but not attributed to a distinct primitive flip in current set.,,NG_MACRO_CLOSURE_DEFICIT,1,0,true,,,0.10464962875290956730336144498697416832809422720544546774427259258778167835540961,0.10464962875290956730336144498697416832809422720544546774427259258778167835540961,,,4,2,macro_AB
contractive_unique_object,registered,,contractive_unique_object,packaging_endomap,off,off,off,off,on,off,false,Packaging operator witness in contractive regime.,,NG_OBJECT_CONTRACTIVE,,,,,,,,0,1,4,2,identity
noncontractive_multiobject,registered,,noncontractive_multiobject,packaging_endomap,off,off,off,off,on,off,false,Packaging operator witness in noncontractive/multi-fixed-point regime.,,NG_OBJECT_CONTRACTIVE,,,,,,,,1,2,8,3,identity
fixed_idempotent_no_ladder,registered,,fixed_idempotent_no_ladder,packaging_endomap,off,off,off,off,on,off,false,Idempotent packaging with bounded interface and no-ladder behavior.,,NG_LADDER_IDEM;NG_LADDER_BOUNDED_INTERFACE,,,,,,,,1,2,4,2,base_binary
lens_extension_escape,registered,,lens_extension_escape,extension_witness,off,off,off,on,on,off,false,Lens extension/refinement enables staging primitive over fixed packaging.,,NG_LADDER_IDEM;NG_LADDER_BOUNDED_INTERFACE,,,,,,,,1,2,8,3,extended_ternary
rev_tree_4__rewrite_add_cd,derived_variant,rev_tree_4,,derived_markov_variant,on,off,off,off,off,off,false,Minimal structural rewrite that creates one cycle while keeping reversible/no-drive character.,,,1,0,true,,,,,,,16,4,identity
biased_cycle_3__gated_path,derived_variant,biased_cycle_3,,derived_markov_variant,off,on,off,off,off,on,false,Explicit gating deletes one edge pair; drive primitive stays on even though cycle-force signal is removed.,,,0,0,true,,,,,,,8,3,identity
