family_id,alpha,micro_arrow_kl,micro_arrow_kind,macro_arrow_observe_x_binary,macro_arrow_observe_x_binary_kind,macro_arrow_observe_clock_3,macro_arrow_observe_clock_3_kind,max_cycle_affinity,exactness_flag
cycle_drive_mix,0,,,,,,,0,true
cycle_drive_mix,1/20,,,,,,,21602/205379,false
cycle_drive_mix,1/10,,,,,,,5402/24389,false
cycle_drive_mix,1/5,,,,,,,169/343,false
cycle_drive_mix,1/2,,,,,,,218/125,false
cycle_drive_mix,1,,,,,,,7,false
hidden_clock_mix,0,0,zero,0,zero,0,zero,,
hidden_clock_mix,1/20,0.001666821013379589906766936485295856112616747687540326671267347468011984628976066,finite_positive,0,zero,0.001632105221555786989669400580142037905734180124302724612876773489207730388931592,finite_positive,,
hidden_clock_mix,1/10,0.006669137449867221874589229218044560495542601655784789283504772083220063545969898,finite_positive,0,zero,0.006530351464510031308263865397048679479674712792623897487998503793803053427270200,finite_positive,,
hidden_clock_mix,1/5,0.026706278524904524629268724186269994917883134699780914780529975708520200631402954,finite_positive,0,zero,0.026152370525869467822143150647591802430697410424526199511007872508639781655344227,finite_positive,,
hidden_clock_mix,1/2,0.16823611831060646525229670510849604505574168765667173327337112923170043752220575,finite_positive,0,zero,0.16482855804389857967137634360456238673574691967751460904619057973916020875294810,finite_positive,,
hidden_clock_mix,1,0.69314718055994530941723212145817656807550013436025525412068000949339362196969471,finite_positive,0,zero,0.68031112166068706294654263772746959459262050224247274941474149079907151785914482,finite_positive,,
